name,old_chr,old_strand,old_start,old_end,chr,strand,start,end,symbol,n_probes_on_tiling,all_identifiers,selected_identifier
7897293,chr1,+,6523501,6523581,chr1,+,6523500,6523581,---,0,ENST00000386632,ENST00000386632
7897295,chr1,+,6537828,6562404,chr1,+,6538020,6562404,TAS1R1,110,"NM_138697, NM_177540, NM_177539, NM_177541, ENST00000333172, ENST00000351136, ENST00000328191, BC136515",NM_138697
7897305,chr1,+,6562695,6571927,chr1,+,6562697,6571926,ZBTB48,244,"NM_005341, ENST00000377674, ENST00000319084, L16896",ENST00000377674
7897322,chr1,+,6596332,6606680,chr1,+,6596342,6606680,PHF13,178,"NM_153812, ENST00000377648, BC038516",NM_153812
7897329,chr1,+,6607512,6618233,chr1,+,6607511,6616208,THAP3,201,"NM_138350, ENST00000377627, BC092427, ENST00000054650, ENST00000307896",BC092427
7897339,chr1,+,6767971,7752351,chr1,+,6767970,7752351,CAMTA1,165,"NM_015215, ENST00000377565, BC151835, ENST00000303635, ENST00000303646",NM_015215
7897368,chr1,+,7202007,7202171,chr1,+,7202006,7202171,---,0,ENST00000384328,ENST00000384328
7897370,chr1,+,7753916,7764079,chr1,+,7753915,7764079,VAMP3,237,"NM_004781, ENST00000054666, BC007050",NM_004781
7897378,chr1,+,7766967,7827824,chr1,+,7766966,7786605,PER3,214,"NM_016831, ENST00000361923, BC146781, ENST00000377532, ENST00000377541",ENST00000377541
7897404,chr1,+,7944310,7968152,chr1,+,7944300,7967929,PARK7,137,"NM_007262, NM_001123377, ENST00000377493, ENST00000377491, ENST00000377488, BC008188",NM_007262
7897416,chr1,+,8300756,8326812,chr1,+,8306976,8326814,SLC45A1,0,"NM_001080397, ENST00000289877, ENST00000377479, AF118274",NM_001080397
7897422,chr1,+,8310714,8310824,chr1,+,8310713,8310826,---,157,ENST00000384030,ENST00000384030
7897424,chr1,+,8876155,8876427,chr1,+,8876064,8876490,---,98,"ENST00000407736, GENSCAN00000040321",ENST00000407736
7897426,chr1,+,8928509,8957738,chr1,+,8928508,8957735,CA6,163,"NM_001215, ENST00000377443, M57892, ENST00000377436",NM_001215
7897439,chr1,+,9065342,9065525,chr1,+,9065341,9065525,---,28,ENST00000391300,ENST00000391300
7897441,chr1,+,9217421,9253983,chr1,+,9217420,9249118,H6PD,84,"NM_004285, ENST00000377403, BC081559",BC081559
7897449,chr1,+,9275528,9352178,chr1,+,9338352,9350221,SPSB1,186,"NM_025106, ENST00000328089, ENST00000357898, ENST00000377399, BC015711",ENST00000377399
7897469,chr1,+,9571564,9597515,chr1,+,9571563,9587593,TMEM201,145,"NM_001010866, ENST00000340305, ENST00000340381, BX648377",NM_001010866
7897482,chr1,+,9634389,9711570,chr1,+,9634376,9711759,PIK3CD,127,"NM_005026, ENST00000377346, BC150297, ENST00000361110",NM_005026
7897509,chr1,+,9926073,9968143,chr1,+,9926072,9968143,NMNAT1,103,"NM_022787, ENST00000377205, BC014943, ENST00000403197",NM_022787
7897520,chr1,+,9929963,9930285,chr1,+,9929962,9930281,---,137,ENST00000365545,ENST00000365545
7897522,chr1,+,9979842,9998665,chr1,+,9979841,9998664,RBP7,84,"NM_052960, ENST00000294435, AF399927",NM_052960
7897527,chr1,+,10015477,10163884,chr1,+,10015602,10163883,UBE4B,85,"NM_001105562, NM_006048, ENST00000343090, ENST00000253251, AF043117, ENST00000377157, ENST00000377153",NM_001105562
7897559,chr1,+,10145913,10146019,chr1,+,10145916,10146019,---,0,ENST00000364876,ENST00000364876
7897561,chr1,+,10193418,10364248,chr1,+,10193350,10364248,KIF1B,151,"NM_015074, NM_183416, ENST00000263934, ENST00000377093, ENST00000377083, AB017133, ENST00000353409, ENST00000377086, ENST00000377081",NM_015074
7897620,chr1,+,10381672,10402788,chr1,+,10381671,10402788,PGD,73,"NM_002631, ENST00000377062, BC000368, ENST00000270776",NM_002631
7897632,chr1,+,10412746,10434797,chr1,+,10432557,10434546,APITD1,61,"NM_198544, NM_199294, NM_199295, NM_001302, ENST00000320498, ENST00000400900, ENST00000309048, ENST00000377049, BC029430, AF086433, ENST00000336114",NM_001302
7897648,chr1,+,10457531,10613402,chr1,+,10457589,10613405,PEX14,151,"NM_004565, ENST00000356607, BC006327",NM_004565
7897661,chr1,+,10599480,10599759,chr1,+,10599479,10599759,---,0,ENST00000386686,ENST00000386686
7897663,chr1,+,10995266,11008136,chr1,+,10995265,11008136,TARDBP,91,"NM_007375, ENST00000240185, BC095435, ENST00000315091",NM_007375
7897675,chr1,+,11171985,11178625,chr1,+,11171984,11178625,ANGPTL7,181,"NM_021146, ENST00000376819, BC001881",NM_021146
7897683,chr1,+,11208898,11209004,chr1,+,11208897,11209004,---,0,ENST00000384720,ENST00000384720
7897685,chr1,+,11255850,11277699,chr1,+,11256171,11277699,UBIAD1,64,"NM_013319, ENST00000376810, AK074890, ENST00000376804",ENST00000376804
7897691,chr1,+,11483910,11519869,chr1,+,11461881,11520227,PTCHD2,0,"NM_020780, ENST00000294484, ENST00000389575, AL117235, ENST00000304391",NM_020780
7897714,chr1,+,11637019,11645971,chr1,+,11637500,11645971,FBXO44,207,"NM_001014765, NM_033182, NM_183412, NM_183413, ENST00000376770, ENST00000251547, ENST00000376760, ENST00000376762, AY040878, ENST00000376768",NM_001014765
7897728,chr1,+,11646768,11656998,chr1,+,11646736,11656994,FBXO6,151,"NM_018438, ENST00000376753, BC020880",NM_018438
7897737,chr1,+,11674366,11708501,chr1,+,11674367,11702923,C1orf187,194,"NM_198545, ENST00000294485, AK075558",NM_198545
7897745,chr1,+,11718728,11733415,chr1,+,11718728,11733415,AGTRAP,148,"NM_020350, NM_001040194, NM_001040196, NM_001040197, NM_001040195, ENST00000400895, ENST00000314340, ENST00000376629, ENST00000376627, ENST00000376637, BC017328",NM_020350
7897753,chr1,+,11749386,11772228,chr1,+,11770455,11772228,C1orf167,188,"AL833926, ENST00000376620, AF398935, ENST00000312793",AF398935
7897774,chr1,+,11788855,11825788,chr1,+,11788793,11825788,CLCN6,210,"NM_001286, NM_021736, NM_021735, NM_021737, ENST00000346436, ENST00000376493, ENST00000376492, ENST00000376486, ENST00000376490, ENST00000376487, ENST00000376491, AK289999, ENST00000376496",NM_001286
7897803,chr1,+,11917333,11958182,chr1,+,11917332,11958181,PLOD1,126,"NM_000302, ENST00000196061, BC016657, ENST00000358133",NM_000302
7897824,chr1,+,11962956,11996154,chr1,+,11962955,11996152,MFN2,152,"NM_014874, NM_001127660, ENST00000235329, AF036536, ENST00000376337",ENST00000235329
7897849,chr1,+,12002099,12014693,chr1,+,12002098,12014693,RP5-1077B9.4,128,"NM_021933, ENST00000235332, AK024020",NM_021933
7897860,chr1,+,12046021,12126851,chr1,+,12108544,12126851,TNFRSF8,154,"NM_001243, NM_152942, ENST00000263932, M83554",NM_152942
7897877,chr1,+,12149647,12191872,chr1,+,12149646,12191864,TNFRSF1B,207,"NM_001066, ENST00000376259, BC052977, ENST00000349152",NM_001066
7897890,chr1,+,12212700,12494686,chr1,+,12212699,12494685,VPS13D,86,"NM_015378, NM_018156, ENST00000011700, ENST00000358136, ENST00000356315, BC051804",NM_015378
7897955,chr1,+,12627153,12649684,chr1,+,12627152,12649684,AADACL4,73,"NM_001013630, ENST00000376221",NM_001013630
7897960,chr1,+,12698705,12711313,chr1,+,12698704,12711313,AADACL3,68,"NM_001103170, NM_001103169, ENST00000359318, ENST00000332530",NM_001103170
7897964,chr1,+,12722280,12722383,chr1,+,12722279,12722383,---,0,ENST00000386731,ENST00000386731
7897966,chr1,+,12728750,12746434,chr1,+,12728749,12743688,C1orf158,60,"BC029894, AK298760, AK026705, ENST00000288048, ENST00000376210, BX647383",BC029894
7897974,chr1,+,12757571,12760636,chr1,+,12757570,12760635,PRAMEF12,231,"NM_001080830, ENST00000357726",NM_001080830
7897987,chr1,+,12839528,12844351,chr1,+,12839578,12844269,PRAMEF2,198,"NM_023014, ENST00000240189, BC075009",BC075009
7898057,chr1,+,13782814,13817039,chr1,+,13782838,13817039,PDPN,211,"NM_006474, NM_198389, NM_001006624, NM_001006625, ENST00000294489, ENST00000376057, ENST00000400804, AY194238",NM_006474
7898070,chr1,+,13899322,14024162,chr1,+,13903936,14024159,PRDM2,102,"NM_012231, NM_015866, NM_001007257, ENST00000235372, ENST00000311066, ENST00000400801, ENST00000343137, U17838, ENST00000376048",NM_012231
7898084,chr1,+,14797787,15265643,chr1,+,14797799,15267238,RP1-21O18.1,205,"NM_015209, NM_001018001, NM_201628, NM_001018000, NM_001017999, ENST00000376030, ENST00000400798, ENST00000361144, ENST00000400797, AB028949, ENST00000338894",NM_015209
7898102,chr1,+,15298112,15317130,chr1,+,15300716,15313781,RP1-21O18.1,160,"NM_201628, ENST00000376030, BC101637, ENST00000338894",BC101637
7898112,chr1,+,15309070,15309745,chr1,+,15309028,15312527,---,93,AK095631,AK095631
7898115,chr1,+,15351649,15419561,chr1,+,15352871,15419561,TMEM51,169,"NM_018022, ENST00000376008, ENST00000376014, ENST00000400796, ENST00000303840, CR457120, AK129922",ENST00000376008
7898124,chr1,+,15435808,15599445,chr1,+,15526202,15596596,FHAD1,0,"NM_052929, ENST00000375999, AL833342, ENST00000314740, ENST00000375997, ENST00000375996, ENST00000375995",AL833342
7898161,chr1,+,15608978,15629426,chr1,+,15608977,15629427,EFHD2,193,"NM_024329, ENST00000375980, BC007233",NM_024329
7898167,chr1,+,15637522,15645740,chr1,+,15637524,15645740,CTRC,185,"NM_007272, ENST00000375949, S82198",NM_007272
7898176,chr1,+,15655811,15671526,chr1,+,15655809,15671172,ELA2A,118,"NM_033440, ENST00000359621, BC007031",NM_033440
7898184,chr1,+,15675183,15690482,chr1,+,15675182,15690482,RP11-265F14.2,116,"NM_015849, ENST00000375910, M16653",NM_015849
7898192,chr1,+,15725895,15775174,chr1,+,15725938,15770815,DNAJC16,138,"NM_015291, ENST00000375847, AL833299, ENST00000375849, ENST00000375838",NM_015291
7898209,chr1,+,15803664,15804125,chr1,+,15803678,15804125,LOC645317,111,"XM_946272, ENST00000270751, GENSCAN00000045122",ENST00000270751
7898211,chr1,+,15816582,15868126,chr1,+,15858950,15860804,DDI2,125,"NM_032341, NM_006511, ENST00000320153, ENST00000406234, ENST00000345034, AK293006",NM_006511
7898227,chr1,+,15883414,15933851,chr1,+,15926574,15933849,PLEKHM2,134,"NM_015164, ENST00000375799, BC068599, ENST00000375793",BC068599
7898249,chr1,+,15935396,15940478,chr1,+,15935395,15940471,SLC25A34,313,"NM_207348, ENST00000294454, BC027998",NM_207348
7898256,chr1,+,15941504,15947064,chr1,+,15941503,15947064,TMEM82,257,"NM_001013641, ENST00000375782, BC137239",NM_001013641
7898263,chr1,+,15955741,15985676,chr1,+,15957841,15985671,FBLIM1,157,"NM_017556, NM_001024215, NM_001024216, ENST00000375771, ENST00000375766, ENST00000400773, ENST00000332305, BC019895",NM_017556
7898276,chr1,+,16027311,16027754,chr1,+,16027313,16027751,LOC441876,89,"XM_001718374, ENST00000402474, GENSCAN00000023087",ENST00000402474
7898278,chr1,+,16046946,16139542,chr1,+,16046945,16139537,SPEN,143,"NM_015001, ENST00000375759, AF356524",NM_015001
7898294,chr1,+,16109979,16110077,chr1,+,16109978,16110077,---,0,ENST00000386752,ENST00000386752
7898296,chr1,+,16203318,16207889,chr1,+,16203317,16205767,C1orf64,115,"BC017946, AK127425, ENST00000329454",BC017946
7898300,chr1,+,16220953,16233132,chr1,+,16220952,16233132,CLCNKA,245,"NM_004070, NM_001042704, ENST00000375692, ENST00000331433, BC053869",ENST00000375692
7898314,chr1,+,16242859,16256390,chr1,+,16242833,16256389,CLCNKB,209,"NM_000085, ENST00000375679, AK292335, ENST00000375667",NM_000085
7898328,chr1,+,16566307,16597224,chr1,+,16566169,16597227,C1orf144,121,"NM_001114600, NM_015609, ENST00000375590, ENST00000401089, AB097046",NM_001114600
7898337,chr1,+,16639806,16659160,chr1,+,16639819,16659159,NECAP2,95,"NM_018090, ENST00000337132, ENST00000406746, BC018914, ENST00000263498, AK223344",ENST00000337132
7898355,chr1,+,16752544,16752615,chr1,+,16752543,16752615,---,0,ENST00000386789,ENST00000386789
7898373,chr1,+,16924648,16924720,chr1,+,16924647,16924720,---,252,ENST00000386795,ENST00000386795
7898377,chr1,+,17049877,17172047,chr1,+,17121031,17172061,CROCC,0,"NM_014675, ENST00000375541, BC126912",NM_014675
7898413,chr1,+,17404208,17445087,chr1,+,17404207,17445088,PADI1,172,"NM_013358, ENST00000375471, AK026652",NM_013358
7898431,chr1,+,17448180,17483315,chr1,+,17448179,17483314,PADI3,183,"NM_016233, ENST00000375460, AB026831",NM_016233
7898448,chr1,+,17507277,17563086,chr1,+,17507276,17563082,PADI4,164,"NM_012387, ENST00000375448, AB017919, ENST00000375453",NM_012387
7898466,chr1,+,17571278,17600782,chr1,+,17571277,17600782,PADI6,105,"NM_207421, ENST00000358481, AY443100",AY443100
7898483,chr1,+,17738917,17896957,chr1,+,17738916,17896957,ARHGEF10L,148,"NM_018125, NM_001011722, ENST00000361221, ENST00000375420, ENST00000375415, DQ139833, ENST00000375408",NM_018125
7898516,chr1,+,17954395,18026145,chr1,+,17954394,18026143,ACTL8,92,"NM_030812, ENST00000375406, AK057339",NM_030812
7898521,chr1,+,18306827,18577564,chr1,+,18306826,18577563,IGSF21,202,"NM_032880, ENST00000251296, BC007618",NM_032880
7898533,chr1,+,18680011,18685080,chr1,+,18680010,18685067,KLHDC7A,183,"NM_152375, ENST00000400664",NM_152375
7898535,chr1,+,18712199,18712468,chr1,+,18712198,18712468,---,106,"ENST00000244841, GENSCAN00000006241",ENST00000244841
7898537,chr1,+,18830087,18944124,chr1,+,18830086,18935218,PAX7,236,"NM_002584, NM_013945, ENST00000375375, BC121165",NM_002584
7898549,chr1,+,19450620,19459209,chr1,+,19450661,19459209,MRTO4,153,"NM_016183, ENST00000330263, AF173378",NM_016183
7898556,chr1,+,19511327,19533562,chr1,+,19511406,19531508,PQLC2,214,"NM_001040125, NM_017765, NM_001040126, ENST00000375155, ENST00000375153, ENST00000400548, AK000327",AK000327
7898568,chr1,+,19597960,19600899,chr1,+,19597959,19600295,LOC644083,0,AK130383,AK130383
7898570,chr1,+,19623465,19623680,chr1,+,19623464,19623680,---,176,ENST00000386833,ENST00000386833
7898572,chr1,+,19709674,19709812,chr1,+,19709673,19709814,---,0,ENST00000364739,ENST00000364739
7898574,chr1,+,19796054,19828901,chr1,+,19796053,19827761,C1orf151,106,"NM_001032363, ENST00000322753, BC070388, ENST00000375138",NM_001032363
7898582,chr1,+,19806888,19807725,chr5,-,149803984,149809512,C1orf151,161,"BC072682, NM_005617, BC091474",NM_005617
7898585,chr1,+,19842313,19857532,chr1,+,19843394,19857532,NBL1,156,"NM_182744, NM_005380, ENST00000375136, ENST00000289749, BC012037, ENST00000337265",NM_005380
7898594,chr1,+,19864367,19878642,chr1,+,19864366,19878642,HTR6,230,"NM_000871, ENST00000289753, L41147",NM_000871
7898602,chr1,+,20081498,20112025,chr1,+,20103403,20107448,OTUD3,0,"NM_015207, ENST00000375120, BC119636",BC119636
7898607,chr1,+,20170050,20170349,chr1,+,20170049,20170349,---,0,ENST00000386856,ENST00000386856
7898609,chr1,+,20269288,20290981,chr1,+,20269408,20290243,PLA2G5,113,"NM_000929, ENST00000375108, ENST00000400517, BC036792",BC036792
7898616,chr1,+,20338406,20349466,chr1,+,20338409,20349466,PLA2G2F,116,"NM_022819, ENST00000375102, AF306566",NM_022819
7898623,chr1,+,20385165,20395128,chr1,+,20385164,20392529,UBXN10,271,"NM_152376, ENST00000375099, BX648631",NM_152376
7898627,chr1,+,20490017,20553343,chr1,+,20531994,20553331,VWA5B1,0,"ENST00000375089, AK125833, AK057346, BC101380, AK295797",AK057346
7898653,chr1,+,20751519,20754090,chr1,+,20751875,20754094,FAM43B,123,"BC142610, AK126900, ENST00000332947",BC142610
7898655,chr1,+,20788028,20817988,chr1,+,20788030,20817987,CDA,118,"NM_001785, ENST00000375071, BC048284",NM_001785
7898663,chr1,+,20832535,20850591,chr1,+,20832534,20850591,PINK1,108,"NM_032409, ENST00000321556, AB053323",NM_032409
7898673,chr1,+,21597067,21597420,chr1,+,21597066,21597442,---,43,"ENST00000327579, GENSCAN00000035080",ENST00000327579
7898675,chr1,+,21613301,21613372,chr1,+,21613300,21613372,---,0,ENST00000386859,ENST00000386859
7898679,chr1,+,21639217,21684085,chr1,+,21639217,21683980,NBPF3,148,"NM_032264, ENST00000318249, BC024011, ENST00000318220",NM_032264
7898693,chr1,+,21708445,21777492,chr1,+,21708444,21777492,ALPL,150,"NM_000478, NM_001127501, ENST00000374840, ENST00000374832, BC090861",NM_000478
7898707,chr1,+,22011345,22024301,chr1,+,22011344,22024301,LDLRAD2,56,"NM_001013693, ENST00000344642, ENST00000400300, BC043362",NM_001013693
7898713,chr1,+,22176005,22188434,chr1,+,22176004,22188434,ELA3B,93,"NM_007352, ENST00000337107, M18692, ENST00000400277, ENST00000374666",NM_007352
7898721,chr1,+,22186561,22186857,chr1,+,22186560,22186857,---,21,ENST00000386865,ENST00000386865
7898725,chr1,+,22200736,22211622,chr1,+,22200735,22211620,ELA3A,99,"NM_005747, ENST00000290122, BC007028, ENST00000374661, ENST00000374663",NM_005747
7898732,chr1,+,22209730,22210026,chr1,+,22209729,22210026,---,49,ENST00000386873,ENST00000386873
7898736,chr1,+,22224271,22230299,chr1,+,22224628,22230302,HSPC157,70,"NR_023918, NR_023919, BC016053",NR_023919
7898739,chr1,+,22235157,22292024,chr1,+,22251706,22289883,CDC42,98,"NM_044472, NM_001791, NM_001039802, ENST00000315554, ENST00000400259, ENST00000344548, ENST00000337517, BC018266",NM_044472
7898750,chr1,+,22650937,22730234,chr1,+,22650930,22730237,ZBTB40,132,"NM_001083621, NM_014870, ENST00000404138, ENST00000374649, BC114607, ENST00000375647, ENST00000374651",NM_001083621
7898773,chr1,+,22762591,22802674,chr1,+,22762590,22802674,EPHA8,199,"NM_020526, NM_001006943, ENST00000166244, ENST00000374644, BC072417",NM_020526
7898793,chr1,+,22835705,22838762,chr1,+,22836659,22838688,C1QA,127,"NM_015991, ENST00000374642, ENST00000402322, BC030153, ENST00000339353",ENST00000402322
7898799,chr1,+,22842710,22847190,chr1,+,22842704,22847190,C1QC,197,"NM_001114101, NM_172369, ENST00000374639, ENST00000374640, ENST00000374637, AF087892",NM_001114101
7898805,chr1,+,22852061,22860618,chr1,+,22852268,22860616,C1QB,210,"NM_000491, ENST00000314933, BC008983",NM_000491
7898809,chr1,+,22909918,23114410,chr1,+,22909917,23114410,EPHB2,187,"NM_017449, NM_004442, ENST00000374632, ENST00000374625, ENST00000400191, L41939, ENST00000374630, ENST00000374627",NM_017449
7898833,chr1,+,23218533,23282771,chr1,+,23218527,23282771,AOF2,70,"NM_015013, ENST00000356634, BC040194, ENST00000246149",NM_015013
7898854,chr1,+,23361784,23361890,chr1,+,23361783,23361890,---,0,ENST00000384208,ENST00000384208
7898856,chr1,+,23363033,23363117,chr1,+,23363032,23363117,---,0,ENST00000386894,ENST00000386894
7898858,chr1,+,23568047,23570915,chr1,+,23568297,23570915,C1orf213,204,"NM_138479, NM_001008896, ENST00000335648, BC054115, BC007899",BC007899
7898869,chr1,+,23826411,23839645,chr1,+,23780571,23839644,MDS2,111,BC041472,BC041472
7898875,chr1,+,23890856,23895502,chr1,+,23891685,23895492,RPL11,63,"NM_000975, ENST00000374550, L05092",L05092
7898881,chr1,+,23942510,23961136,chr1,+,23942442,23961135,TCEB3,154,"NM_003198, ENST00000374536, L47345",NM_003198
7898894,chr1,+,23977470,23987735,chr1,+,23977462,23987307,C1orf128,76,"NM_020362, ENST00000246151, AF271784, ENST00000374524",NM_020362
7898902,chr1,+,23990047,23994616,chr1,+,23990232,23994616,LYPLA2,202,"NM_007260, ENST00000374514, BC017193, ENST00000374501",NM_007260
7898916,chr1,+,24518468,24563559,chr1,+,24518467,24554395,GRHL3,181,"NM_198173, NM_021180, NM_198174, ENST00000356046, ENST00000236255, ENST00000361548, BC036890, ENST00000350501, ENST00000374413",NM_198173
7898939,chr1,+,24614880,24672053,chr1,+,24614831,24672059,NPAL3,165,"NM_020448, ENST00000374399, BC063583, ENST00000003912, ENST00000339255, ENST00000358028",NM_020448
7898957,chr1,+,24701974,24736093,chr1,+,24701973,24735014,RCAN3,153,"NM_013441, ENST00000374395, BC035854, ENST00000374393",NM_013441
7898967,chr1,+,24755189,24808403,chr1,+,24788541,24808403,C1orf130,0,"NM_001010980, ENST00000374392, ENST00000331474, BC050474",BC050474
7898975,chr1,+,24842179,24872359,chr1,+,24842180,24872359,SRRM1,174,"NM_005839, ENST00000323848, AF419855, ENST00000374389",NM_005839
7898988,chr1,+,24944435,25043402,chr1,+,24944346,25043403,CLIC4,121,"NM_013943, ENST00000374379, BC012444",NM_013943
7898998,chr1,+,25471568,25529523,chr1,+,25471567,25529523,RHD,175,"NM_016124, NM_001127691, ENST00000328664, AB046420, AB030388, ENST00000342055",NM_016124
7899005,chr1,+,25536995,25561439,chr1,+,25537397,25561439,TMEM50A,125,"NM_014313, ENST00000374358, AY071927",NM_014313
7899018,chr1,+,25629998,25699287,chr1,+,25629974,25699283,TMEM57,232,"NM_018202, ENST00000374343, AY845015",NM_018202
7899023,chr1,+,25742658,25767964,chr1,+,25742662,25767964,LDLRAP1,0,"NM_015627, ENST00000374338, BC029770",NM_015627
7899029,chr1,+,25816546,25985285,chr1,+,25816545,25983845,MAN1C1,185,"NM_020379, ENST00000374332, AF261655, ENST00000263979, ENST00000374329",NM_020379
7899043,chr1,+,25999254,26017300,chr1,+,26011763,26017297,SEPN1,154,"NM_020451, NM_206926, ENST00000361547, ENST00000354177, ENST00000374315, ENST00000388882, BC042154",BC042154
7899057,chr1,+,26019028,26032016,chr1,+,26019270,26032020,FAM54B,273,"NM_019557, NM_001099625, NM_001099626, NM_001099627, ENST00000374301, ENST00000374300, ENST00000336146, AB075880, ENST00000374307, ENST00000374303",NM_019557
7899069,chr1,+,26076574,26076681,chr1,+,26076573,26076683,---,169,ENST00000384572,ENST00000384572
