name,chr,strand,start,end,symbol,selected_identifier
7897691,chr1,+,11461881,11520227,PTCHD2,NM_020780
7897714,chr1,+,11637500,11645971,FBXO44,NM_001014765
7897728,chr1,+,11646736,11656994,FBXO6,NM_018438
7897737,chr1,+,11674367,11702923,C1orf187,NM_198545
7897745,chr1,+,11718728,11733415,AGTRAP,NM_020350
7897753,chr1,+,11770455,11772228,C1orf167,AF398935
7897774,chr1,+,11788793,11825788,CLCN6,NM_001286
7897803,chr1,+,11917332,11958181,PLOD1,NM_000302
7897824,chr1,+,11962955,11996152,MFN2,ENST00000235329
7897849,chr1,+,12002098,12014693,RP5-1077B9.4,NM_021933
7897860,chr1,+,12108544,12126851,TNFRSF8,NM_152942
7897877,chr1,+,12149646,12191864,TNFRSF1B,NM_001066
7897890,chr1,+,12212699,12494685,VPS13D,NM_015378
7897955,chr1,+,12627152,12649684,AADACL4,NM_001013630
7897960,chr1,+,12698704,12711313,AADACL3,NM_001103170
7897964,chr1,+,12722279,12722383,---,ENST00000386731
7897966,chr1,+,12728749,12743688,C1orf158,BC029894
7897974,chr1,+,12757570,12760635,PRAMEF12,NM_001080830
7897987,chr1,+,12839578,12844269,PRAMEF2,BC075009
7898057,chr1,+,13782838,13817039,PDPN,NM_006474
7898070,chr1,+,13903936,14024159,PRDM2,NM_012231
7898084,chr1,+,14797799,15267238,RP1-21O18.1,NM_015209
7898102,chr1,+,15300716,15313781,RP1-21O18.1,BC101637
7898112,chr1,+,15309028,15312527,---,AK095631
7898115,chr1,+,15352871,15419561,TMEM51,ENST00000376008
7898124,chr1,+,15526202,15596596,FHAD1,AL833342
7898161,chr1,+,15608977,15629427,EFHD2,NM_024329
7898167,chr1,+,15637524,15645740,CTRC,NM_007272
7898176,chr1,+,15655809,15671172,ELA2A,NM_033440
7898184,chr1,+,15675182,15690482,RP11-265F14.2,NM_015849
7898192,chr1,+,15725938,15770815,DNAJC16,NM_015291
7898209,chr1,+,15803678,15804125,LOC645317,ENST00000270751
7898211,chr1,+,15858950,15860804,DDI2,NM_006511
7898227,chr1,+,15926574,15933849,PLEKHM2,BC068599
7898249,chr1,+,15935395,15940471,SLC25A34,NM_207348
7898256,chr1,+,15941503,15947064,TMEM82,NM_001013641
7898263,chr1,+,15957841,15985671,FBLIM1,NM_017556
7898276,chr1,+,16027313,16027751,LOC441876,ENST00000402474
7898278,chr1,+,16046945,16139537,SPEN,NM_015001
7898294,chr1,+,16109978,16110077,---,ENST00000386752
7898296,chr1,+,16203317,16205767,C1orf64,BC017946
7898300,chr1,+,16220952,16233132,CLCNKA,ENST00000375692
7898314,chr1,+,16242833,16256389,CLCNKB,NM_000085
7898328,chr1,+,16566169,16597227,C1orf144,NM_001114600
7898337,chr1,+,16639819,16659159,NECAP2,ENST00000337132
7898355,chr1,+,16752543,16752615,---,ENST00000386789
7898373,chr1,+,16924647,16924720,---,ENST00000386795
7898377,chr1,+,17121031,17172061,CROCC,NM_014675
7898413,chr1,+,17404207,17445088,PADI1,NM_013358
7898431,chr1,+,17448179,17483314,PADI3,NM_016233
7898448,chr1,+,17507276,17563082,PADI4,NM_012387
7898466,chr1,+,17571277,17600782,PADI6,AY443100
7898483,chr1,+,17738916,17896957,ARHGEF10L,NM_018125
7898516,chr1,+,17954394,18026143,ACTL8,NM_030812
7898521,chr1,+,18306826,18577563,IGSF21,NM_032880
7898533,chr1,+,18680010,18685067,KLHDC7A,NM_152375
7898535,chr1,+,18712198,18712468,---,ENST00000244841
7898537,chr1,+,18830086,18935218,PAX7,NM_002584
7898549,chr1,+,19450661,19459209,MRTO4,NM_016183
7898556,chr1,+,19511406,19531508,PQLC2,AK000327
7898568,chr1,+,19597959,19600295,LOC644083,AK130383
7898570,chr1,+,19623464,19623680,---,ENST00000386833
7898572,chr1,+,19709673,19709814,---,ENST00000364739
7898574,chr1,+,19796053,19827761,C1orf151,NM_001032363
7898582,chr5,-,149803984,149809512,C1orf151,NM_005617
7898585,chr1,+,19843394,19857532,NBL1,NM_005380
7898594,chr1,+,19864366,19878642,HTR6,NM_000871
7898602,chr1,+,20103403,20107448,OTUD3,BC119636
7898607,chr1,+,20170049,20170349,---,ENST00000386856
7898609,chr1,+,20269408,20290243,PLA2G5,BC036792
7898616,chr1,+,20338409,20349466,PLA2G2F,NM_022819
7898623,chr1,+,20385164,20392529,UBXN10,NM_152376
7898627,chr1,+,20531994,20553331,VWA5B1,AK057346
7898653,chr1,+,20751875,20754094,FAM43B,BC142610
7898655,chr1,+,20788030,20817987,CDA,NM_001785
7898663,chr1,+,20832534,20850591,PINK1,NM_032409
7898673,chr1,+,21597066,21597442,---,ENST00000327579
7898675,chr1,+,21613300,21613372,---,ENST00000386859
7898679,chr1,+,21639217,21683980,NBPF3,NM_032264
7898693,chr1,+,21708444,21777492,ALPL,NM_000478
7898707,chr1,+,22011344,22024301,LDLRAD2,NM_001013693
7898713,chr1,+,22176004,22188434,ELA3B,NM_007352
7898721,chr1,+,22186560,22186857,---,ENST00000386865
7898725,chr1,+,22200735,22211620,ELA3A,NM_005747
7898732,chr1,+,22209729,22210026,---,ENST00000386873
7898736,chr1,+,22224628,22230302,HSPC157,NR_023919
7898739,chr1,+,22251706,22289883,CDC42,NM_044472
7898750,chr1,+,22650930,22730237,ZBTB40,NM_001083621
7898773,chr1,+,22762590,22802674,EPHA8,NM_020526
7898793,chr1,+,22836659,22838688,C1QA,ENST00000402322
7898799,chr1,+,22842704,22847190,C1QC,NM_001114101
7898805,chr1,+,22852268,22860616,C1QB,NM_000491
7898809,chr1,+,22909917,23114410,EPHB2,NM_017449
7898833,chr1,+,23218527,23282771,AOF2,NM_015013
7898854,chr1,+,23361783,23361890,---,ENST00000384208
7898856,chr1,+,23363032,23363117,---,ENST00000386894
7898858,chr1,+,23568297,23570915,C1orf213,BC007899
7898869,chr1,+,23780571,23839644,MDS2,BC041472
7898875,chr1,+,23891685,23895492,RPL11,L05092
7898881,chr1,+,23942442,23961135,TCEB3,NM_003198
7898894,chr1,+,23977462,23987307,C1orf128,NM_020362
7898902,chr1,+,23990232,23994616,LYPLA2,NM_007260
7898916,chr1,+,24518467,24554395,GRHL3,NM_198173
7898939,chr1,+,24614831,24672059,NPAL3,NM_020448
7898957,chr1,+,24701973,24735014,RCAN3,NM_013441
7898967,chr1,+,24788541,24808403,C1orf130,BC050474
7898975,chr1,+,24842180,24872359,SRRM1,NM_005839
7898988,chr1,+,24944346,25043403,CLIC4,NM_013943
7898998,chr1,+,25471567,25529523,RHD,NM_016124
7899005,chr1,+,25537397,25561439,TMEM50A,NM_014313
7899018,chr1,+,25629974,25699283,TMEM57,NM_018202
7899023,chr1,+,25742662,25767964,LDLRAP1,NM_015627
7899029,chr1,+,25816545,25983845,MAN1C1,NM_020379
7899043,chr1,+,26011763,26017297,SEPN1,BC042154
7899057,chr1,+,26019270,26032020,FAM54B,NM_019557
7899069,chr1,+,26076573,26076683,---,ENST00000384572
7899071,chr1,+,26163274,26163378,---,ENST00000384508
7899073,chr1,+,26205293,26205377,---,ENST00000391039
7899075,chr1,+,26221011,26235525,EXTL1,BC065528
7899087,chr1,+,26310854,26324611,PDIK1L,NM_152835
7899093,chr1,+,26358097,26361706,GRRP1,NM_024869
7899096,chr1,+,26368974,26369951,ZNF593,NM_015871
7899101,chr1,+,26376567,26388962,CNKSR1,NM_006314
7899124,chr1,+,26389705,26401620,CATSPER4,NM_198137
7899134,chr1,+,26433279,26477886,CCDC21,NM_022778
7899151,chr1,+,26445831,26445916,---,ENST00000386942
7899153,chr1,+,26478832,26480201,SH3BGRL3,ENST00000374243
7899160,chr1,+,26516997,26519601,CD52,NM_001803
7899167,chr1,+,26609855,26628806,LIN28,NM_024674
7899173,chr1,+,26631359,26670372,DHDDS,ENST00000374194
7899187,chr1,+,26671488,26675720,HMGN2,NM_005517
7899192,chr1,+,26728835,26774107,RPS6KA1,NM_002953
7899220,chr1,+,26895108,26981188,ARID1A,NM_006015
7899244,chr1,+,26987072,26997474,PIGV,NM_017837
7899251,chr1,+,27013902,27014185,---,ENST00000386973
7899253,chr1,+,27025787,27054795,ZDHHC18,NM_032283
7899265,chr1,+,27062219,27063534,SFN,NM_006142
7899273,chr1,+,27120810,27145474,NUDC,NM_006600
7899284,chr1,+,27192781,27199964,TNRP,NM_001013642
7899287,chr1,+,27376154,27376355,---,ENST00000335629
7899289,chr1,+,27433593,27507695,WDTC1,NM_015023
7899310,chr1,+,27521222,27535478,TMEM222,NM_032125
7899323,chr1,+,27542305,27546536,SYTL1,ENST00000374061
7899343,chr1,+,27591738,27594904,GPR3,NM_005281
7899348,chr1,+,27892833,27892933,---,ENST00000384367
7899350,chr1,+,27925076,27960701,FAM76A,BC025768
7899361,chr1,+,27972369,28023401,STX12,BC046999
7899377,chr1,+,28029879,28050770,PPP1R8,NM_138558
7899392,chr1,+,28033498,28033664,SCARNA1,NR_002997
7899394,chr1,+,28071641,28085780,C1orf38,NM_001105556
7899407,chr1,+,28134090,28158250,SMPDL3B,NM_014474
7899417,chr1,+,28158559,28167191,XKR8,AK091615
7899424,chr1,+,28435197,28437198,ATPIF1,NM_178191
7899436,chr1,+,28458592,28481589,SESN2,NM_031459
7899448,chr1,+,28528099,28535065,MED18,NM_017638
7899455,chr1,+,28568679,28699468,PHACTR4,NM_001048183
7899462,chr1,+,28717331,28738194,RCC1,NM_001048194
7899484,chr1,+,28716574,28716673,---,ENST00000387056
7899486,chr1,+,28752115,28777644,TRSPAP1,NR_003109
7899499,chr1,+,28791610,28793673,RAB42,ENST00000389290
7899502,chr1,+,28847698,28847833,RNU11,NR_004407
7899504,chr1,+,28867830,28913972,GMEB1,NM_006582
7899517,chr1,+,28888763,28888893,---,ENST00000390875
7899519,chr1,+,28935722,28968874,YTHDF2,NM_016258
7899528,chr1,+,29011240,29062795,OPRD1,NM_000911
7899534,chr1,+,29086189,29319145,EPB41,NM_203342
7899560,chr1,+,29184808,29184909,---,ENST00000383977
7899562,chr1,+,29435633,29525903,PTPRU,NM_133178
7899595,chr1,+,30963925,30972178,LOC100129196,ENST00000334039
7899604,chr1,+,31542517,31609582,ZCCHC17,BC000685
7899615,chr1,+,31654998,31680111,SERINC2,ENST00000373710
7899627,chr1,+,31814672,31825872,TINAGL1,NM_022164
7899643,chr1,+,31855887,31865506,HCRTR1,NM_001525
7899654,chr1,+,32252077,32282059,KHDRBS1,NM_006559
7899675,chr1,+,32311089,32341054,TMEM39B,NM_018056
7899688,chr1,+,32346230,32414755,KPNA6,NM_012316
7899703,chr1,+,32418252,32436473,TXLNA,ENST00000373609
7899719,chr1,+,32438788,32443578,CCDC28B,NM_024296
7899727,chr1,+,32443822,32446875,IQCC,NM_018134
7899737,chr1,+,32460557,32469792,EIF3I,NM_003757
7899750,chr1,+,32485404,32487048,FAM167B,NM_032648
7899753,chr1,+,32512298,32524353,LCK,NM_001042771
7899774,chr1,+,32530294,32571811,HDAC1,NM_004964
7899790,chr1,+,32600384,32602495,TSSK3,ENST00000373534
7899797,chr1,+,32777358,32844129,ZBTB8,NM_001040441
7899811,chr1,+,32878138,32878240,---,ENST00000363721
7899813,chr1,+,32889335,32924397,RBBP4,NM_005610
7899821,chr1,+,33003854,33013158,KIAA1522,AB040955
7899829,chr1,+,33055779,33075370,S100PBP,ENST00000356689
7899841,chr1,+,33124684,33132834,HPCA,NM_002143
7899849,chr1,+,33218132,33218660,hCG_1641703,ENST00000401937
7899851,chr1,+,33319300,33358582,ADC,NM_052998
7899870,chr1,+,33494760,33538907,ZNF362,NM_152493
7899882,chr1,+,33519403,33521015,---,AK021842
7899884,chr1,+,33710818,33734582,ZSCAN20,NM_145238
7899898,chr1,+,34102217,34102979,HMGB4,NM_001008728
7899905,chr1,+,34102217,34102979,HMGB4,NM_001008728
7899911,chr1,+,34405070,34457319,C1orf94,ENST00000373374
7899921,chr1,+,34993307,34996699,GJB5,NM_005268
7899927,chr1,+,34999364,35000515,GJB4,NM_153212
7899932,chr1,+,35019376,35024552,GJB3,NM_024009
7899939,chr1,+,35031185,35033935,GJA4,NM_002060
7899943,chr1,+,35317558,35354042,ZMYM1,NM_024772
7899957,chr1,+,35507154,35660132,ZMYM4,NM_005095
7899988,chr1,+,35548461,35548613,---,ENST00000364672
7899990,chr1,+,35795660,35804960,NCDN,ENST00000373253
7900001,chr1,+,35811557,35833514,TFAP2E,NM_178548
7900009,chr1,+,36046414,36093775,EIF2C4,NM_017629
7900030,chr1,+,36121396,36162486,EIF2C1,NM_012199
7900051,chr1,+,36169358,36294650,EIF2C3,NM_024852
7900076,chr1,+,36322262,36326463,TEKT2,NM_014466
7900087,chr1,+,36327039,36332119,ADPRHL2,NM_017825
7900095,chr1,+,36394152,36419037,MAP7D1,ENST00000373153
7900119,chr1,+,36462603,36543544,THRAP3,NM_005119
7900129,chr1,+,36545297,36559419,C1orf113,AK297015
7900144,chr1,+,37441797,37441904,---,ENST00000384598
7900146,chr1,+,37712705,37722565,ZC3H12A,NM_025079
7900159,chr1,+,37795106,37805045,DNALI1,NM_003462
7900167,chr1,+,37930745,37947978,CDCA8,NM_018101
7900181,chr1,+,37988460,37988559,---,ENST00000387332
7900183,chr1,+,38032360,38039865,MANEAL,NM_001031740
7900192,chr1,+,38046404,38047713,C1orf122,AY517499
7900201,chr1,+,38250970,38263084,UTP11L,NM_016037
7900212,chr1,+,38634917,38635024,---,ENST00000363926
7900214,chr1,+,39165128,39165236,---,ENST00000363093
7900216,chr1,+,39229502,39244322,AKIRIN1,NM_024595
7900228,chr1,+,39264592,39272874,NDUFS5,NM_004552
7900235,chr1,+,39569396,39725376,MACF1,NM_033044
7900336,chr1,+,39718873,39721050,MACF1,AY527403
7900340,chr1,+,39729904,39768128,BMP8A,NM_181809
7900350,chr1,+,39742781,39742854,---,ENST00000387412
7900354,chr1,+,39977116,39991965,PPIE,NM_006112
7900365,chr1,+,40193406,40208214,MFSD2,ENST00000372811
7900382,chr1,+,40278841,40310908,CAP1,NM_006367
7900395,chr1,+,40399627,40479180,RLF,NM_012421
7900405,chr1,+,40416101,40416208,---,ENST00000384777
7900407,chr1,+,40472002,40472113,---,ENST00000363544
7900409,chr1,+,40486159,40489952,TMCO2,NM_001008740
7900413,chr1,+,40496319,40532443,ZMPSTE24,NM_005857
7900426,chr1,+,40612314,40661581,SMAP2,NM_022733
7900438,chr1,+,40689302,40701975,ZNF643,ENST00000361584
7900446,chr1,+,40715888,40734602,ZNF642,NM_198494
7900454,chr1,+,40747019,40754799,C1orf176,AK024797
7900461,chr1,+,40769819,40786426,ZNF684,NM_152373
7900468,chr1,+,40930271,41009365,NFYC,ENST00000372653
7900488,chr1,+,40992613,40992705,---,hsa-mir-30e
7900490,chr1,+,40995542,40995631,---,hsa-mir-30c-1
7900492,chr1,+,41022270,41076947,KCNQ4,NM_004700
7900510,chr1,+,41217950,41250813,CTPS,ENST00000372621
7900531,chr1,+,42391678,42394082,GUCA2B,NM_007102
7900538,chr1,+,42551885,42552058,---,ENST00000387546
7900540,chr1,+,42619054,42662487,FAM80A,NM_173642
7900546,chr1,+,42694374,42698339,PPCS,ENST00000372562
7900555,chr1,+,42773146,42892922,RP4-692D3.1,NM_001080850
7900576,chr1,+,42896634,42915016,PPIH,NM_006347
7900597,chr1,+,43005526,43013997,C1orf50,BC001508
7900603,chr1,+,43005563,43031082,C1orf50,AK299874
7900609,chr1,+,43055362,43083247,ERMAP,NM_001017922
7900624,chr1,+,43087546,43090731,ZNF691,BC000157
7900633,chr1,+,43229695,43229802,---,ENST00000384526
7900635,chr1,+,43386180,43394654,FAM183A,NM_001101376
7900639,chr1,+,43410612,43449136,WDR65,NM_152498
7900652,chr1,+,43434674,43434794,---,ENST00000362370
7900654,chr1,+,43508251,43512259,TMEM125,NM_144626
7900658,chr1,+,43539250,43561366,TIE1,NM_005424
7900683,chr1,+,43576061,43592722,MPL,NM_005373
7900699,chr1,+,43597270,43601461,CDC20,ENST00000372462
7900710,chr1,+,43661383,43690891,C1orf84,BC151232
7900792,chr1,+,43769133,43861930,PTPRF,NM_002840
7900833,chr1,+,43888383,43943776,JMJD2A,NM_014663
7900857,chr1,+,43945804,44169418,ST3GAL3,NM_174963
7900876,chr1,+,43954724,43954809,---,ENST00000387617
7900878,chr1,+,44173617,44175498,ARTN,NM_003976
7900888,chr1,+,44204197,44206011,IPO13,ENST00000372339
7900911,chr1,+,44208239,44211630,DPH2,NM_001384
7900922,chr1,+,44213188,44216559,ATP6V0B,NM_004047
7900931,chr1,+,44217452,44229427,B4GALT2,NM_003780
7900944,chr1,+,44229866,44234785,CCDC24,NM_152499
7900957,chr1,+,44357108,44373396,KLF17,NM_173484
7900962,chr1,+,44451711,44458938,DMAP1,NM_019100
7900977,chr1,+,44628980,44629082,---,ENST00000362515
7900979,chr1,+,44643452,44889982,RNF220,ENST00000355387
7900999,chr1,+,44912980,44963848,MGC33556,BC026115
7901010,chr1,+,44984664,45006026,KIF2C,ENST00000372217
7901036,chr1,+,45010901,45010975,---,ENST00000387672
7901046,chr1,+,45014123,45014197,SNORD55,NR_000015
7901048,chr1,+,45014750,45014848,SNORD46,NR_000024
7901050,chr1,+,45016100,45016171,SNORD38A,NR_001456
7901052,chr1,+,45016648,45016717,SNORD38B,NR_001457
7901054,chr1,+,45038622,45044254,PLK3,NM_004073
7901071,chr1,+,45170581,45170685,---,ENST00000387737
7901073,chr1,+,45250416,45253928,UROD,NM_000374
7901087,chr1,+,45565131,45566933,HPDL,NM_032756
7901091,chr1,+,45578511,45582223,TOE1,ENST00000372090
7901102,chr1,+,45738442,45749326,MMACHC,NM_015506
7901110,chr1,+,45789084,45808308,AKR1A1,NM_006066
7901123,chr1,+,45822303,45857154,NASP,NM_172164
7901135,chr1,+,45925472,45932697,TMEM69,BC040289
7901140,chr1,+,46041871,46274383,MAST2,NM_015112
7901175,chr1,+,46418798,46424217,TSPAN1,NM_005727
7901187,chr1,+,46441592,46459514,C1orf190,NM_001013615
7901192,chr1,+,46485953,46516732,RAD54L,NM_003579
7901212,chr1,+,46541956,46555032,UQCRH,ENST00000311672
7901219,chr1,+,46578976,46603277,NSUN4,NM_199044
7901227,chr1,+,46597103,46597178,---,ENST00000387748
7901229,chr1,+,46632525,46652107,FAAH,NM_001441
7901247,chr1,+,46745254,46752473,DMBX1,NM_172225
7901253,chr1,+,46910086,46911836,C1orf223,BC067853
7901256,chr1,+,47037256,47057608,CYP4B1,NM_001099772
7901272,chr1,+,47261826,47289010,CYP4X1,NM_178033
7901287,chr1,+,47305746,47356579,CYP4Z1,NM_178134
7901293,chr1,+,47375693,47387113,CYP4A22,NM_001010969
7901299,chr1,+,47572174,47617097,CMPK1,ENST00000371873
7901309,chr1,+,47654330,47656311,FOXE3,NM_012186
7901311,chr1,+,47674275,47678950,FOXD2,NM_004474
7901314,chr1,+,48340326,48342966,---,AF111848
7901316,chr1,+,48460943,48486903,SLC5A9,NM_001011547
7901334,chr1,+,48582467,48582574,---,ENST00000383973
7901340,chr1,+,50232576,50234461,---,AF119862
7901342,chr1,+,50347180,50440127,ELAVL4,NM_021952
7901357,chr1,+,50564528,50565269,LOC343184,ENST00000361960
7901359,chr1,+,50820663,50820771,---,ENST00000384465
7901363,chr1,+,51208229,51212897,CDKN2C,NM_078626
7901374,chr1,+,51345481,51345591,---,ENST00000363392
7901376,chr1,+,51474532,51511707,RNF11,NM_014372
7901383,chr1,+,51620567,51620674,---,ENST00000383868
7901385,chr1,+,51968080,52026726,OSBPL9,NM_148904
7901426,chr1,+,52380633,52584946,ZFYVE9,NM_004799
7901443,chr1,+,52388363,52388679,---,ENST00000387887
7901445,chr1,+,52606779,52608524,---,BC057844
7901447,chr1,+,52642806,52656580,PRPF38A,NM_032864
7901460,chr1,+,52840630,52847310,GPX7,NM_015696
7901466,chr1,+,52871653,52895325,FAM159A,NM_001042693
7901477,chr1,+,52952658,52952954,---,ENST00000387893
7901479,chr1,+,52964718,53065599,ZYG11B,NM_024646
7901497,chr1,+,53080770,53133253,ZYG11A,AY271826
7901513,chr1,+,53253197,53289870,SCP2,NM_001007099
7901535,chr1,+,53300441,53323761,PODN,AY358294
7901549,chr1,+,53434688,53452457,CPT2,NM_000098
7901557,chr1,+,53698143,53705746,DMRTB1,BC029566
7901563,chr1,+,54048534,54048644,---,ENST00000387951
7901565,chr1,+,54132465,54149347,DIO1,ENST00000361921
7901577,chr1,+,54184624,54206427,LRRC42,NM_052940
7901592,chr1,+,54291928,54335550,C1orf83,BC035374
7901601,chr1,+,54438427,54456644,MRPL37,NM_016491
7901611,chr1,+,54476297,54477323,C1orf191,ENST00000361350
7901613,chr1,+,54786488,54848588,ACOT11,NM_147161
7901634,chr1,+,54880014,54948527,C1orf175,NM_001039464
7901662,chr1,+,54954082,54980914,TTC4,AK025524
7901675,chr1,+,55044362,55080517,C1orf177,BC064142
7901687,chr1,+,55219052,55230554,TMEM61,NM_182532
7901691,chr1,+,55237225,55247042,BSND,BC103898
7901696,chr1,+,55277807,55303111,PCSK9,NM_174936
7901710,chr1,+,55611698,55611765,---,ENST00000387980
7901714,chr1,+,55819297,55973263,---,AK127270
7901720,chr1,+,56883577,56953596,PRKAA2,NM_006252
7901732,chr1,+,57093030,57156482,C8A,NM_000562
7901744,chr1,+,58960542,58960629,---,ENST00000387997
7901746,chr1,+,58986250,58986359,---,ENST00000387999
7901748,chr1,+,59535327,60000986,FGGY,ENST00000303721
7901765,chr1,+,60053120,60114638,HOOK1,NM_015888
7901788,chr1,+,61320567,61701047,NFIA,NM_005595
7901802,chr1,+,61892505,61893778,MGC34796,BC034822
7901804,chr1,+,61980736,62402179,INADL,NM_176877
7901852,chr1,+,62054678,62054782,---,ENST00000363705
7901854,chr1,+,62090758,62090862,---,ENST00000391058
7901856,chr1,+,62277101,62277370,---,AY669118
7901858,chr1,+,62310707,62311001,---,ENST00000388027
7901860,chr1,+,62433061,62450586,L1TD1,NM_019079
7901867,chr1,+,62674562,62690063,USP1,NM_001017415
7901883,chr1,+,62835774,62843768,ANGPTL3,NM_014495
7901895,chr1,+,63022390,63102638,ATG4C,NM_032852
7901911,chr1,+,63477201,63477385,---,ENST00000388055
7901913,chr1,+,63561317,63563385,FOXD3,NM_012183
7901915,chr1,+,63605848,63676820,ALG6,NM_013339
7901931,chr1,+,63761600,63810951,EFCAB7,NM_032437
7901948,chr1,+,63787238,63788895,DLEU2L,NR_002771
7901951,chr1,+,63831534,63898505,PGM1,NM_002633
7901967,chr1,+,63894013,63894306,---,ENST00000388069
7901969,chr1,+,64012277,64417295,ROR1,NM_005012
7901982,chr1,+,64442077,64482615,UBE2U,NM_152489
7901993,chr1,+,64709063,64931329,CACHD1,NM_020925
7902023,chr1,+,64983365,65071500,RAVER2,NM_018211
7902036,chr1,+,65364292,65364446,---,ENST00000388137
7902038,chr1,+,65386473,65465763,AK3L1,NM_013410
7902043,chr1,+,65503017,65654140,DNAJC6,NM_014787
7902072,chr1,+,65537042,65538314,BPA-1,AB088847
7902074,chr1,+,65658835,65875764,LEPR,NM_002303
7902102,chr1,+,65809819,65809922,---,ENST00000388165
7902104,chr1,+,66570380,66612850,PDE4B,NM_001037339
7902127,chr1,+,66771653,66982645,SGIP1,BC040516
7902158,chr1,+,66990727,67017317,TCTEX1D1,NM_152665
7902166,chr1,+,67168513,67226890,MIER1,NM_001077701
7902189,chr1,+,67404756,67498238,IL23R,NM_144701
7902203,chr1,+,67434414,67434511,---,ENST00000388193
